,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,,,,,
0 BARCELONA,3.019,3.188,3.392,3.879,4.284,4.344,4.115,4.009,3.932,4.058,4.167
,,,,,,,,,,,
1 1. el Raval,2.614,2.404,2.775,3.251,4.029,4.034,4.591,3.587,3.409,3.374,3.386
1 2. el Barri Gòtic,3.811,3.791,4.236,4.813,4.884,4.66,3.811,4.717,4.351,5.186,4.923
1 3. la Barceloneta,4.212,4.168,4.043,4.683,5.165,4.815,4.849,4.763,4.672,4.732,5.154
"1 4. Sant Pere, Santa Caterina i la Ribera",3.534,3.682,3.827,4.501,5.152,4.689,4.772,4.837,4.778,4.705,4.909
2 5. el Fort Pienc,3.038,3.022,3.228,4.012,4.107,4.5,4.25,4.091,4.428,4.644,4.64
2 6. la Sagrada Família,3.029,2.959,3.157,3.746,4.209,4.202,4.173,4.088,4.06,4.279,4.529
2 7. la Dreta de l'Eixample,4.296,4.528,4.961,5.949,6.332,6.128,5.514,5.395,5.666,6.267,6.479
2 8. l'Antiga Esquerra de l'Eixample,3.521,3.551,3.999,4.747,5.091,5.081,5.197,5.19,5.234,5.361,5.391
2 9. la Nova Esquerra de l'Eixample,3.158,3.292,3.34,4.085,4.465,4.797,4.634,4.312,4.238,4.389,4.806
2 10. Sant Antoni,2.926,3,3.369,3.817,4.591,4.53,4.412,4.219,4.17,4.231,4.378
3 11. el Poble Sec-AEI Parc Montjuïc,2.495,2.518,2.815,2.771,3.936,4.083,3.911,3.716,3.67,3.599,3.793
3 12. la Marina del Prat Vermell-AEI Zona Franca,-,-,-,-,-,-,-,-,-,-,3.5
3 13. la Marina de Port,2.152,2.08,2.174,2.348,2.723,2.879,2.819,2.861,2.588,2.778,2.854
3 14. la Font de la Guatlla,-,2.58,2.582,-,3.51,3.457,3.893,3.856,3.281,3.673,3.517
3 15. Hostafrancs,-,2.719,2.742,2.97,3.912,3.398,3.915,3.467,3.493,3.391,-
3 16. la Bordeta,-,2.323,2.361,2.829,3.171,3.153,3.114,3.128,3.255,3.271,3.271
3 17. Sants-Badal,2.575,2.392,2.607,3.127,3.469,3.429,3.183,3.239,3.265,3.361,3.686
3 18. Sants,2.633,2.511,2.816,3.181,3.666,3.556,3.642,3.705,3.621,3.687,3.676
4 19. les Corts,3.597,3.712,3.825,4.469,4.821,4.65,4.469,4.654,4.563,4.69,4.715
4 20. la Maternitat i Sant Ramon,3.362,3.296,3.281,3.875,4.339,4.057,4.043,3.918,3.881,4.305,4.144
4 21. Pedralbes,4.914,5.185,5.436,5.689,6.34,6.306,6.197,6.46,5.976,6.406,6.62
"5 22. Vallvidrera, el Tibidabo i les Planes",-,-,-,-,-,-,3.531,3.579,4.263,3.888,4.309
5 23. Sarrià,4.384,4.472,4.704,5.824,6.042,5.983,5.743,5.558,5.645,5.925,6.109
5 24. les Tres Torres,4.509,4.742,5.145,4.956,5.689,5.607,6.46,5.749,6.024,5.882,6.216
5 25. Sant Gervasi-la Bonanova,3.866,3.883,4.235,4.926,5.029,5.424,5.319,5.115,5.428,5.364,5.527
5 26. Sant Gervasi-Galvany,3.899,4.188,4.484,4.797,5.306,5.524,5.56,5.326,5.371,5.498,5.672
5 27. el Putxet i el Farró,3.298,3.256,3.465,3.956,4.289,4.505,4.541,4.532,4.344,4.493,4.716
6 28. Vallcarca i els Penitents,3.109,2.969,2.862,3.363,3.541,3.904,3.609,3.845,4.096,4.212,4.315
6 29. el Coll,-,2.317,2.252,2.624,-,-,3.236,3.42,2.881,2.864,2.94
6 30. la Salut,2.89,2.682,2.825,3.204,3.561,3.973,4.021,3.547,3.885,4.233,4.435
6 31. la Vila de Gràcia,3.264,3.308,3.655,4.17,4.426,4.791,4.526,4.343,4.494,4.882,4.913
6 32. el Camp d'en Grassot i Gràcia Nova,3.145,3.068,3.219,3.759,4.391,4.376,4.133,4.399,4.149,4.39,4.702
7 33. el Baix Guinardó,2.608,2.521,2.841,3.087,3.493,3.574,3.798,3.611,3.867,4.008,4.111
7 34. Can Baró,-,2.368,2.598,2.755,2.859,3.005,3.124,3.339,3.148,2.913,-
7 35. el Guinardó,2.474,2.476,2.506,2.587,3.164,3.468,3.278,3.304,3.204,3.324,3.447
7 36. la Font d'en Fargues,-,2.46,-,2.652,3.206,-,3.236,3.705,3.37,3.536,3.711
7 37. el Carmel,1.73,1.732,1.693,2.077,2.242,2.382,2.768,2.532,2.448,2.495,2.558
7 38. la Teixonera,2.013,1.869,1.87,2.012,2.5,2.547,2.65,3.138,2.688,2.665,2.585
7 39. Sant Genís dels Agudells (1),2.051,2.044,2.14,2.125,-,2.799,2.867,2.889,2.776,2.47,-
7 40. Montbau (1),2.051,2.044,2.14,2.125,-,2.799,2.867,2.889,2.776,2.47,-
7 41. la Vall d'Hebron (2),-,-,-,-,-,-,-,3.293,-,-,-
7 42. la Clota (2),-,-,-,-,-,-,-,3.293,-,-,-
7 43. Horta,2.354,2.255,2.192,2.453,2.97,2.945,3.037,2.953,2.979,3.045,3.349
8 44. Vilapicina i la Torre Llobeta,-,1.971,2.193,2.48,2.774,3.086,2.977,2.953,2.865,2.987,3.196
8 45. Porta,-,2.01,2.174,2.431,2.705,2.929,2.941,2.754,2.908,2.97,3.024
8 46. el Turó de la Peira (3),-,1.719,1.887,2.176,-,-,2.62,2.534,2.375,2.47,2.323
8 47. Can Peguera (3),-,1.719,1.887,2.176,-,-,2.62,2.534,2.375,2.47,2.323
8 48. la Guineueta,-,-,-,-,-,-,2.681,2.498,2.778,2.982,3.851
8 49. Canyelles (4),1.733,1.538,1.529,1.644,1.885,2.009,2.176,2.097,2.085,1.997,2.122
8 50. les Roquetes (4),1.733,1.538,1.529,1.644,1.885,2.009,2.176,2.097,2.085,1.997,2.122
8 51. Verdun,-,1.971,1.71,1.853,2.331,2.42,2.407,2.503,2.319,2.502,2.411
8 52. la Prosperitat,2.001,1.91,1.861,1.94,2.213,2.489,2.684,2.446,2.385,2.474,2.491
8 53. la Trinitat Nova,-,-,-,-,-,-,2.275,2.2,2.105,2.147,2.183
8 54. Torre Baró (5),1.426,1.281,1.212,1.313,1.498,-,1.727,1.69,1.776,1.626,1.593
8 55. Ciutat Meridiana (5),1.426,1.281,1.212,1.313,1.498,-,1.727,1.69,1.776,1.626,1.593
8 56. Vallbona (5),1.426,1.281,1.212,1.313,1.498,-,1.727,1.69,1.776,1.626,1.593
9 57. la Trinitat Vella,1.612,1.557,1.394,1.438,1.776,1.764,1.926,1.809,1.763,1.974,1.902
9 58. Baró de Viver,-,-,-,-,-,-,-,-,-,-,-
9 59. el Bon Pastor,-,1.879,-,1.827,-,2.339,2.414,2.38,2.3,2.235,2.144
9 60. Sant Andreu,2.33,2.379,2.391,2.757,3.21,3.206,3.317,3.161,3.294,3.371,3.5
9 61. la Sagrera,2.423,2.218,2.498,2.696,3.296,3.263,3.286,3.25,3.173,3.519,3.598
9 62. el Congrés i els Indians,-,-,2.216,2.473,-,2.828,3.272,3.271,3.007,3.274,3.274
9 63. Navas,-,2.362,2.401,2.72,3.029,3.279,3.56,3.503,3.424,3.377,3.636
10 64. el Camp de l'Arpa del Clot,2.482,2.602,2.619,3.159,3.561,3.654,3.605,3.555,3.741,3.725,3.852
10 65. el Clot,2.509,2.246,2.505,3.144,3.524,3.803,3.822,3.767,3.645,3.644,3.856
10 66. el Parc i la Llacuna del Poblenou,-,2.779,2.956,3.761,4.076,4.254,4.287,4.567,4.268,4.541,4.649
10 67. la Vila Olímpica del Poblenou,-,4.795,4.728,5.365,5.402,5.321,5.019,5.267,5.228,5.226,-
10 68. el Poblenou,3.446,3.304,3.606,4.223,4.324,4.428,4.583,4.557,4.469,4.78,5.029
10 69. Diagonal Mar i el Front Marítim del Poblenou,4.722,5.646,6.506,5.891,6.402,6.836,6.892,6.237,6.4,7.524,7.136
10 70. el Besòs i el Maresme,-,2.002,1.951,2.222,2.786,2.822,2.759,2.547,2.368,2.184,2.078
10 71. Provençals del Poblenou,-,3.069,3.397,3.31,3.194,3.362,3.407,2.994,3.122,3.319,3.699
10 72. Sant Martí de Provençals,-,-,2.273,2.547,2.759,2.926,3.022,2.867,2.864,2.975,2.974
10 73. la Verneda i la Pau,-,1.983,2.023,2.281,2.443,2.672,2.561,2.389,2.321,2.606,-